jp,en,kr
"今回ここを訪れるにあたって、こちらが連れているのはノスリとオウギ、
そしてクオンの三人だけだ。","This time, the only ones that accompanied me are
these three... Nosuri, Ougi, and Kuon.",
ココポもまだ戦えるって言ってます。,Cocopo says we can still keep fighting!,
う、うん……大丈夫かな。ありがと。,"Y-Yeah... Thanks, but I'm fine, I think.",
さて、トゥスクルの方々よ。,"Now then, delegates of Tuskur. ",
！！,!,
ああ、それがどうかしたのか？,"Ah, yes? What about it?",
待っ……て……,Please... wait...,
それは聖上に忠誠を誓った臣下に対して、あまりにも酷な言葉。,"This is cruel reprimand indeed, my liege, to
those who have pledged their loyalty to you.",
仕方が……無いんだ。,There's... nothing I can do.,
あり得ぬのじゃ……,That is impossible...,
ここに至り、アンジュも理解したようだった。,"Anju finally realizes our plan, as well.",
ほぅ？,Oh?,
あの時、無理にでもマロを引き入れるよう、オシュトルに言うべきだった……,"Way back when... I really should've tried harder
to get you on the crew. Should've bothered Oshtor
about it more...",
ネコネ……,Nekone...,
行かせない……ルルティエは私が護るんだから……,"I won't let you go... I will be the one to protect
Rulutieh...",
その御姿、見間違うなどありえませぬ。あなた様はまさしく姫殿下……いえ。,"I could never mistake such presence. You are none
other than Her Highness... no...",
心配せずとも、クオンなら必ず来る。<某:それがし>はそう信じている。,"No need to worry. Kuon will surely come after us.
I know she will.",
どうかしたのかな？,Is something the matter?,
そうとなれば、さっそく出発じゃ！,"Then let us move, and swiftly!",
関内の<防人:さきもり>は三倍に増強！,"We shall increase the number of stationed troops
threefold!",
オシュトル……,Oshtor...,
申し訳ありません、兄上。私が不甲斐ないばかりに……,"I'm sorry, Brother. It is my shortcomings that...",
ハハハ、しばらく見ないうちに、さらに可愛くなったね。,"Mwahahaha! Aye, my little sea blossom, you're
even cuter than when I last saw you!",
だ……大丈夫、なのです。,I... I am fine.,
なに、少々寝付けなくてな。,"Everything's all right. I was just having a hard
time sleeping.",
いつかきっと破綻する。,"Inevitably, something will give way.",
ミカヅチ……,Mikazuchi...,
"予定通りならソヤンケクル殿はすでに、このナァラまで攻め上り……
城都攻略に着手している筈だ。","If nothing's upset the plan, Lord Soyankekur
should have made it to Naara by now. The battle
for the city will be unfolding as we speak.",
トゥスクルの皇女が訪ねてきたと聞いたのでな。,"I was told Tuskur's own crown princess had
arrived with the newest relief shipment...",
"都だって、まだ元どおりとはいかないけど、
だいぶあの頃の活気が戻ってきたかな。","The Imperial Capital isn't what it used to be,
but there's still life in it. One day, it'll be the
same city we knew.",
わるいな、とうちゃん。おんなは、せいちょうがはやいんだ。,Sorry Daddy. Girls grow up fast.,
そんな息子が二人なんですもの。母として心配で仕方がないわ。,"And now, to have two sons of such troublesome
disposition... A mother worries, you know.",
"我に返ると、クオンの顔がすぐ近くにあって……
動揺したせいか、それ以上言葉にならない。","I snap back to reality, and find Kuon's face
close to mine... My nerves overtake me, and I
can't think of how to respond.",
"となると、ここは敢えてこいつらを引きつけて天幕とは逆方向……。
雪山に向かうのが正解ってことになるかねえ。","Which means the best thing to do is lure them in the opposite direction... towards
the snowy mountains.",
……フミルィル殿。今、何と？,"...I... beg your pardon, Lady Fumirul?",
父上……エンナカムイの皆様がそこにおいでです。,"Father... The delegation from Ennakamuy is standing
right there...!",
ノスリが深刻そうな声で呟く。,"Nosuri mutters gravely, almost to herself.",
一拍おいてハッキリと答える。,"I pause for a moment, gathering my thoughts so
I can answer clearly.",
兄上！,Brother!,
"だが返ってきたのは、あまりに素っ気ない、
どうでもよいと言わんばかりのものだった。","The other princess's reply is short, curt, and
dismissive.",
ウキィ！,Ooogee!,
じゃが、一番大事なのは本人の気持ちであろう。,"Yet I cannot help but observe--The most important
factor is the person's own feelings, is it not?",
す、すみません……,"Oh, I-I'm sorry about that...",
知性など無く、無分別に、か。,"Mindless, indiscriminate attacks...",
待たせたなっ！！,"Kept you waiting, huh?",
多少の追っ手はかかるだろうが、あの混乱だ。幾らかの猶予はあるだろう。,"We'll have some pursuit, I'm sure, but we left
a lot of chaos behind us. That should buy us
some time.",
なん……どう…して……,What...? But... why...?,
今まで辿った道程が巻き戻されるような、不思議に懐かしい感覚。,"It's a familiar kind of comfort. For a quiet,
intimate moment, we can pretend the clock has
turned back...",
<仮面:アクルカ>よ……扉となりて根源への道を開け放てっ！！,"Akuruka... open thy gates and guide my path to
the primal origin!",
勿体無きお言葉……,"Such words are wasted on the likes of me, Your
Highness.",
どうぞ<皆:みな>さんでお召し上がりくださいって。,He said to please enjoy it with everyone.,
ならば今この場で、力尽くで<其方:そなた>を黙らせるまでじゃ。,"Th-Then--Then right here and now, I'll stop
you by force if I have to!",
終わった……全てが終わったでおじゃる。何とむなしい……,"Tis ended... All is done. But the cost, and the
means...",
ソレガ親シイ者ホド……,THE CLOSER ONE KEEPS OTHERS...,
貴様の責は問わぬ……また、挽回の機会も与えぬ。,"I will not hold you responsible, nor shall I give
you a chance to ""redeem"" yourself for your
perceived transgression.",
"ナコク奪還を願うこの皇子にここまで肩入れするということは……
もはや中立の立場を捨てるつもりなのか。","If Soyankekur's supporting the prince who wants
to take back Nakoku... that throws Shyahoro's
neutrality out the window.",
いよいよ最後の<大戦:おおいくさ>だ。,A decisive battle is coming.,
待てよ、ここは……,"Wait, I know this place...",
逃すとでも思っているのか！,You really think I'll let you get away again!?,
"凝視する目の前で、足の先からぼろりと形が崩れはじめ、
やがて蟲の全てが白い砂となって、消えた。","As I try to approach for a better look, however,
it begins to crumble into whitish dust. Salt.",
"報告します。
ソヤンケクルによって國外に逃れたナコクの皇子が、舞い戻ったとの知らせが……","Reporting. I have received word that the escaped
prince of Nakoku has returned with the help of
Soyankekur...",
"しばしの間思慮に耽る。
ルルティエも何も言わず、ただ二人、夜気に身を預けるようにしていた。","I am lost in thought for a moment, and Rulutieh
remains silent as well. The two of us stand
together in the stillness of the night.",
